Entity,Year,nox,so2,co,oc,nmvoc,bc,nh3,nox_per_capita,so2_per_capita,co_per_capita,oc_per_capita,nmvoc_per_capita,bc_per_capita,nh3_per_capita
Vietnam,1975,129794.250589912,99704.4394732255,5565107.49201305,122650.706974952,1107566.86827165,36921.9369880024,461496.821590212,2.66418447117069,2.04655459039255,114.230583351965,2.51755457129756,22.7341537689176,0.75786755362355,9.47278219171623
Vietnam,1976,114231.278541422,76005.6734589709,5338865.43366365,122706.800962123,1062079.94649871,34756.2002009117,470788.907221718,2.29447916571602,1.52666972176615,107.237839429948,2.46472071305024,21.3332139907934,0.698122075308204,9.45638841535634
Vietnam,1977,120793.960628844,87020.4984864696,5368802.11676122,125223.314870448,1065270.19488857,35489.9680011395,481033.042849394,2.37497436411098,1.71094193767311,105.557987559255,2.46206152243091,20.9446680160244,0.697781277698236,9.45776708628599
Vietnam,1978,120451.115122997,91285.4396142171,5415469.1537428,126611.241222092,1088080.72125836,35751.675290861,491035.263738984,2.31819451411895,1.75687377502919,104.225775500439,2.43675190991077,20.9411324782176,0.688074472745271,9.45043350969637
Vietnam,1979,120828.553176863,93599.3874030216,5453193.3747723,128263.923083323,1094779.4050117,36489.2290508161,500904.874198413,2.27568744131061,1.76285277632713,102.705555530759,2.41572535017196,20.6190977007221,0.687238886097572,9.43405264346802
Vietnam,1980,154433.304365783,113446.61245424,5604156.33741753,125958.548832403,1128415.67980239,34970.7666454146,511306.283274792,2.84502707288078,2.08995517569485,103.241827053348,2.32045466462454,20.7880882409732,0.644244311641142,9.41947220792059
Vietnam,1981,148554.371717133,115391.447971059,5595812.91599335,127802.117611232,1122608.07509216,35558.2320806868,521369.618889924,2.67555600608955,2.07827126257995,100.784047505838,2.30179508965779,20.2188649386684,0.640425726349966,9.39018891931186
Vietnam,1982,153611.380134226,120120.408836383,5646776.2181767,129456.780683064,1132353.86605867,36175.504932313,532516.684174364,2.70374462950822,2.11426334430375,99.3900377731733,2.2785946927852,19.9307869077393,0.636732298707449,9.37293268052062
Vietnam,1983,170594.057009808,131337.037592699,5602937.4257466,130275.28645611,1138203.8021668,36349.7884004427,544090.962014199,2.93377124650288,2.25865326872539,96.3558578987612,2.24039392833531,19.5741261213175,0.625121214038256,9.35694037540577
Vietnam,1984,164999.34169155,130177.180072658,5584133.16005263,130906.424779004,1137096.46085188,35955.2343998255,555851.128403085,2.77251031430966,2.18738796615256,93.8310821364773,2.19964158152624,19.1068136015375,0.60416155122177,9.34005536579143
Vietnam,1985,174000.148461611,132971.790259385,5627768.82013363,132188.071504862,1147206.77231626,36496.2806011148,567186.32576145,2.85729862255352,2.18356200558324,92.4149561939322,2.17069236991013,18.8385605374728,0.599314271923735,9.31390416420786
Vietnam,1986,183103.310939465,146424.82987079,5450491.39946546,130240.872662354,1117003.60630089,36130.8765363103,576126.18116892,2.93934764902135,2.35054995581892,87.4964466717179,2.09074975707644,17.9311990989303,0.580007026957557,9.24852274636569
Vietnam,1987,198400.923203244,164855.135733368,5315858.61406016,128696.283718877,1090267.02365624,36129.9014531726,585285.532093941,3.11451776097676,2.58791259607109,83.4488862300866,2.02028727962891,17.1151220193975,0.567170847602216,9.18787148526487
Vietnam,1988,208928.254847268,165977.311808449,5113193.71988448,125529.71898938,1065541.319555,34435.6301025944,594345.78735018,3.2083364380517,2.54877473491652,78.519038692564,1.9276548870158,16.3626267030139,0.528799165561346,9.12687107711724
Vietnam,1989,193768.47590013,134774.339675197,5151323.91680484,128940.42065277,1078622.50525057,34842.3018086497,607345.499504575,2.91161215266209,2.02515194198856,77.4050435644562,1.93749005867943,16.2076435799652,0.523548884314245,9.12612089767157
Vietnam,1990,214829.509193135,138039.082987646,6173686.36715021,147532.997276453,1274319.85927833,40195.6509794206,633213.86481256,3.15977569134772,2.03031948692006,90.8043973204284,2.1699587743633,18.7430717943379,0.591209472756776,9.31349601353093
Vietnam,1991,217186.887247512,141665.002245822,6167468.59470694,149592.278091105,1278700.62235773,40570.6203200591,645416.289948958,3.1278286415497,2.04019615155086,88.8211307821654,2.15436124113145,18.4152758081566,0.584279971276088,9.29499742369103
Vietnam,1992,215535.296732598,141735.189756459,5827273.75019226,144382.043802727,1232313.47640814,38944.8949463938,651862.362637854,3.04069823331208,1.99955157054996,82.2091846015289,2.036892481966,17.3850569600658,0.549421255150336,9.19625121492122
Vietnam,1993,246855.649492136,159879.394782519,6252296.53054379,139816.681324111,1320573.5810794,39723.9756796024,666204.227704255,3.41430997983267,2.21132396320932,86.4767668272016,1.93383255102373,18.2651179596617,0.549430271822957,9.21440423963162
Vietnam,1994,268242.221296996,167965.760462194,6052033.16563277,129123.790743282,1294052.26217334,36883.539119528,672891.150535394,3.64206099865338,2.28055651467036,82.1715308221492,1.75317934660145,17.570005390995,0.500786560258937,9.13618521295553
Vietnam,1995,277642.394036007,186572.550900648,6025415.2718973,128284.403080512,1295087.37452912,36950.1315507338,680406.667060126,3.70632324525459,2.49060733224998,80.434894541533,1.71250311679436,17.2884708674227,0.493257277791442,9.08293221972468
Vietnam,1996,300880.711887282,215024.707892777,6092022.24636037,142001.037507875,1318387.41486106,41369.1416903866,680912.982394692,3.95537899097272,2.82671563359554,80.0857477857183,1.86674618300356,17.3315260057542,0.543838895123424,8.95128467475015
Vietnam,1997,323440.249199053,245018.011348954,6304331.50434434,157822.056471428,1364234.60229429,46530.1554238763,680093.049007852,4.19326847133148,3.17655673479773,81.7330390866712,2.04609740167203,17.6867349053379,0.603244136090856,8.81712386457273
Vietnam,1998,360510.593396809,282343.190129971,6540922.09322263,158676.334039196,1422296.72701508,46448.782621935,683805.586282054,4.61508426623327,3.61442253934741,83.733757598249,2.03129856947596,18.2075627373796,0.594615109210488,8.75375220649662
Vietnam,1999,374645.534237458,282966.300543164,6719142.85622968,157946.999183379,1467020.82761973,46109.2037556496,688849.008258705,4.74019660539749,3.580226573384,85.0138470837705,1.99842187065076,18.5614574621431,0.5833959600372,8.71565101456606
Vietnam,2000,398307.53271287,309525.151334601,6882060.8554,157752.759144843,1516100.72668498,46256.8316772079,693992.618689075,4.98442571883082,3.87340182704844,86.1222003324323,1.97412010900861,18.9725044940947,0.578858601827425,8.68463278540654
